# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EBlowR9scale        0.0020     0.0302     0.0037    
EBlowR9smear        0.0000     0.0852     0.0033    
EBhighR9scale       0.0056     0.0566     0.0022    
EBhighR9smear       0.0003     0.2567     0.0023    
EElowR9scale        0.0002     0.0058     0.0009    
EElowR9smear        0.0000     0.0065     0.0011    
EEhighR9scale       0.0024     0.0439     0.0016    
EEhighR9smear       0.0002     0.0497     0.0017    

diphotonCat=0
proc=vbf
EBlowR9scale        0.0021     0.0302     0.0032    
EBlowR9smear        0.0001     0.0958     0.0015    
EBhighR9scale       0.0055     0.0587     0.0023    
EBhighR9smear       0.0001     0.2383     0.0032    
EElowR9scale        0.0001     0.0019     0.0036    
EElowR9smear        0.0000     0.0048     0.0034    
EEhighR9scale       0.0022     0.0319     0.0038    
EEhighR9smear       0.0001     0.0425     0.0022    

diphotonCat=0
proc=wh
EBlowR9scale        0.0021     0.0275     0.0024    
EBlowR9smear        0.0001     0.0863     0.0010    
EBhighR9scale       0.0054     0.0721     0.0010    
EBhighR9smear       0.0001     0.2424     0.0013    
EElowR9scale        0.0002     0.0011     0.0005    
EElowR9smear        0.0001     0.0075     0.0008    
EEhighR9scale       0.0035     0.0674     0.0041    
EEhighR9smear       0.0000     0.0709     0.0028    

diphotonCat=0
proc=zh
EBlowR9scale        0.0021     0.0261     0.0002    
EBlowR9smear        0.0001     0.0866     0.0009    
EBhighR9scale       0.0055     0.0547     0.0017    
EBhighR9smear       0.0002     0.2295     0.0013    
EElowR9scale        0.0002     0.0023     0.0020    
EElowR9smear        0.0000     0.0083     0.0017    
EEhighR9scale       0.0033     0.0567     0.0040    
EEhighR9smear       0.0001     0.0714     0.0021    

diphotonCat=0
proc=tth
EBlowR9scale        0.0019     0.0315     0.0062    
EBlowR9smear        0.0001     0.0843     0.0062    
EBhighR9scale       0.0056     0.0587     0.0045    
EBhighR9smear       0.0000     0.2704     0.0038    
EElowR9scale        0.0002     0.0046     0.0059    
EElowR9smear        0.0000     0.0055     0.0058    
EEhighR9scale       0.0022     0.0363     0.0055    
EEhighR9smear       0.0001     0.0487     0.0051    

diphotonCat=1
proc=ggh
EBlowR9scale        0.0021     0.0216     0.0013    
EBlowR9smear        0.0001     0.0914     0.0013    
EBhighR9scale       0.0053     0.0491     0.0022    
EBhighR9smear       0.0001     0.2238     0.0021    
EElowR9scale        0.0001     0.0009     0.0009    
EElowR9smear        0.0001     0.0059     0.0003    
EEhighR9scale       0.0023     0.0337     0.0021    
EEhighR9smear       0.0001     0.0359     0.0019    

diphotonCat=1
proc=vbf
EBlowR9scale        0.0023     0.0149     0.0033    
EBlowR9smear        0.0001     0.0899     0.0039    
EBhighR9scale       0.0051     0.0345     0.0013    
EBhighR9smear       0.0000     0.1774     0.0013    
EElowR9scale        0.0004     0.0007     0.0020    
EElowR9smear        0.0000     0.0105     0.0009    
EEhighR9scale       0.0036     0.0612     0.0032    
EEhighR9smear       0.0001     0.0754     0.0008    

diphotonCat=1
proc=wh
EBlowR9scale        0.0021     0.0124     0.0027    
EBlowR9smear        0.0001     0.0805     0.0004    
EBhighR9scale       0.0049     0.0417     0.0008    
EBhighR9smear       0.0000     0.1635     0.0004    
EElowR9scale        0.0005     0.0028     0.0017    
EElowR9smear        0.0001     0.0132     0.0004    
EEhighR9scale       0.0051     0.0803     0.0051    
EEhighR9smear       0.0001     0.0946     0.0028    

diphotonCat=1
proc=zh
EBlowR9scale        0.0021     0.0425     0.0046    
EBlowR9smear        0.0001     0.0880     0.0021    
EBhighR9scale       0.0048     0.0680     0.0028    
EBhighR9smear       0.0001     0.1723     0.0017    
EElowR9scale        0.0006     0.0080     0.0004    
EElowR9smear        0.0001     0.0145     0.0012    
EEhighR9scale       0.0053     0.1080     0.0039    
EEhighR9smear       0.0003     0.0902     0.0024    

diphotonCat=1
proc=tth
EBlowR9scale        0.0022     0.0284     0.0042    
EBlowR9smear        0.0000     0.0887     0.0031    
EBhighR9scale       0.0051     0.0544     0.0055    
EBhighR9smear       0.0001     0.2075     0.0054    
EElowR9scale        0.0003     0.0003     0.0042    
EElowR9smear        0.0000     0.0118     0.0044    
EEhighR9scale       0.0032     0.0542     0.0031    
EEhighR9smear       0.0000     0.0632     0.0036    

diphotonCat=2
proc=ggh
EBlowR9scale        0.0024     0.0220     0.0032    
EBlowR9smear        0.0001     0.0750     0.0006    
EBhighR9scale       0.0050     0.0390     0.0010    
EBhighR9smear       0.0000     0.1425     0.0009    
EElowR9scale        0.0004     0.0042     0.0013    
EElowR9smear        0.0000     0.0108     0.0004    
EEhighR9scale       0.0036     0.0557     0.0041    
EEhighR9smear       0.0001     0.0636     0.0025    

diphotonCat=2
proc=vbf
EBlowR9scale        0.0024     0.0221     0.0016    
EBlowR9smear        0.0001     0.0738     0.0008    
EBhighR9scale       0.0047     0.0403     0.0015    
EBhighR9smear       0.0000     0.1298     0.0013    
EElowR9scale        0.0006     0.0053     0.0010    
EElowR9smear        0.0000     0.0142     0.0011    
EEhighR9scale       0.0049     0.0786     0.0031    
EEhighR9smear       0.0001     0.0873     0.0025    

diphotonCat=2
proc=wh
EBlowR9scale        0.0024     0.0250     0.0019    
EBlowR9smear        0.0000     0.0720     0.0021    
EBhighR9scale       0.0043     0.0373     0.0028    
EBhighR9smear       0.0001     0.1198     0.0039    
EElowR9scale        0.0008     0.0025     0.0024    
EElowR9smear        0.0001     0.0199     0.0016    
EEhighR9scale       0.0062     0.1030     0.0015    
EEhighR9smear       0.0000     0.1208     0.0033    

diphotonCat=2
proc=zh
EBlowR9scale        0.0024     0.0215     0.0016    
EBlowR9smear        0.0000     0.0797     0.0018    
EBhighR9scale       0.0043     0.0327     0.0012    
EBhighR9smear       0.0001     0.1229     0.0024    
EElowR9scale        0.0007     0.0081     0.0014    
EElowR9smear        0.0000     0.0229     0.0016    
EEhighR9scale       0.0059     0.0836     0.0052    
