#MH_[GeV] BR
#
120.00 2.218E-03
120.50 2.226E-03
121.00 2.235E-03
121.50 2.242E-03
122.00 2.248E-03
122.50 2.253E-03
123.00 2.258E-03
123.50 2.262E-03
124.00 2.266E-03
124.10 2.266E-03
124.20 2.266E-03
124.30 2.268E-03
124.40 2.268E-03
124.50 2.267E-03
124.60 2.269E-03
124.70 2.268E-03
124.80 2.269E-03
124.90 2.270E-03
125.00 2.270E-03
125.09 2.270E-03
125.10 2.270E-03
125.20 2.270E-03
125.30 2.270E-03
125.40 2.270E-03
125.50 2.271E-03
125.60 2.271E-03
125.70 2.271E-03
125.80 2.271E-03
125.90 2.270E-03
126.00 2.270E-03
126.50 2.269E-03
127.00 2.267E-03
127.50 2.265E-03
128.00 2.261E-03
128.50 2.257E-03
129.00 2.251E-03
129.50 2.245E-03
130.00 2.238E-03
