CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))" 
0, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.908299+(2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.044655226171016693)" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.030660966411232948)" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.048987984657287598)" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.041866477578878403)" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.058439217507839203)" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.079142965376377106)" 
0, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.094659518897533417)" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.022327613085508347)" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.908299+((2.70877e-06*(log(x+370.144)*(log(x+370.144)*(3-(-(104.614*log(x+370.144)))))))-0.015330483205616474)" 
