OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.11263331770896912)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.035774830728769302)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.048977665603160858)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.029415970668196678)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.02761555090546608)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.027591491118073463)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.030103476718068123)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.10650250315666199)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.22497090697288513)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.045053325593471527)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.014309932477772236)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.019591066986322403)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.011766388081014156)" 
